wkt_geom,id,join_segment_id,join_length,distance
Point (121.04163126751829793 14.56047699839862908),,1000124250,0.0019,6.42E-05
Point (121.04155003760214981 14.56043207208532664),,1000124250,0.0019,8.00E-05
Point (121.04158020871383883 14.56038939207921068),,1000124250,0.0019,2.78E-05
Point (121.04163590922779292 14.5603759141808311),,1000124250,0.0019,1.75E-05
Point (121.04144327828373662 14.5603534510150272),,1000124249,0.0005,8.57E-05
Point (121.04145952426698329 14.56028606150390914),,1000124249,0.0005,2.32E-05
Point (121.0414038237530292 14.56028606150390914),,1000124249,0.0005,5.84E-05
Point (121.04137365264134019 14.56023439619810311),,1000124249,0.0005,3.74E-05
Point (121.0413133104178911 14.56025012042288047),,1000124249,0.0005,8.77E-05
Point (121.04131563127261018 14.56021417933600048),,1000124249,0.0005,5.84E-05
Point (121.04128778101566866 14.56015352873862057),,1000124249,0.0005,2.90E-05
Point (121.04118566340676466 14.56013106555018233),,1000124249,0.0005,7.61E-05
Point (121.04117637998778889 14.56009737076321287),,1000124249,0.0005,5.58E-05
Point (121.04119030511623123 14.56005693701207271),,1000124249,0.0005,1.57E-05
Point (121.04121351366372039 14.56001650325351626),,1000124249,0.0005,3.04E-05
Point (121.04108307900949626 14.56006419110457806),,1000124249,0.0005,8.90E-05
Point (121.0410865602916175 14.56002824998740586),,1000124249,0.0005,5.89E-05
Point (121.04109352285585999 14.55998893938379801),,1000124248,0.0006,2.40E-05
Point (121.04100184909333393 14.55999792466523246),,1000124248,0.0006,8.82E-05
Point (121.04097748011847102 14.55994401297108354),,1000124248,0.0006,6.11E-05
Point (121.04101113251232391 14.55992716556397859),,1000124248,0.0006,2.70E-05
Point (121.04092990259613316 14.55993053504549195),,1000124248,0.0006,8.02E-05
Point (121.04087536250959545 14.55989234758517803),,1000124248,0.0006,8.43E-05
Point (121.04090437319393914 14.55987662333487975),,1000124248,0.0006,5.39E-05
Point (121.04086607909059126 14.55980137155012066),,1000124248,0.0006,1.89E-05
Point (121.04080225558503514 14.55979800206661068),,1000124248,0.0006,5.60E-05
Point (121.04085099353473254 14.55974633664650852),,1000124248,0.0006,1.48E-05
Point (121.04069665669402411 14.55969916386104757),,1000124248,0.0006,4.44E-05
Point (121.04065836259067623 14.55970590283101984),,1000124248,0.0006,7.35E-05
Point (121.04058989737562513 14.55964412893192872),,1000124248,0.0006,6.78E-05
Point (121.04078136789230768 14.5596576068750263),,1000124248,0.0006,4.08E-05
Point (121.04097283840897603 14.55981035683920055),,1000124248,0.0006,4.05E-05
Point (121.04067460857392291 14.55955539911933982),,1000124248,0.0006,5.43E-05
Point (121.04065604173592874 14.55958909398909462),,1000124248,0.0006,1.64E-05
Point (121.04056320754601472 14.55955315279450701),,1000124247,0.0006,1.32E-05
Point (121.04048661933934738 14.55955315279450701),,1000124247,0.0006,6.09E-05
Point (121.04060962464097884 14.5594969946662669),,1000124247,0.0006,5.96E-05
Point (121.04054231985330148 14.55945880713089302),,1000124247,0.0006,4.76E-05
Point (121.04046573164663414 14.55949924099167347),,1000124247,0.0006,3.17E-05
Point (121.04049242147623033 14.5594340975456511),,1000124247,0.0006,3.59E-05
Point (121.04041699369692253 14.55943297438262363),,1000124247,0.0006,1.01E-05
Point (121.04040422899581131 14.55947340824813629),,1000124247,0.0006,4.97E-05
Point (121.04041003113269426 14.55935996877333771),,1000124247,0.0006,4.27E-05
Point (121.0403624536103564 14.55932739703217393),,1000124247,0.0006,3.86E-05
Point (121.04030211138692152 14.55933413601350601),,1000124247,0.0006,4.17E-06
Point (121.0402672985657091 14.55936558459029406),,1000124247,0.0006,5.04E-05
Point (121.04026033600146661 14.55931391906889871),,1000124247,0.0006,1.43E-05
Point (121.0403206782249157 14.55928247048474233),,1000124247,0.0006,4.78E-05
Point (121.04018606864954677 14.55928920946743688),,1000124247,0.0006,4.12E-05
Point (121.04024873172771493 14.5592308049438941),,1000124247,0.0006,4.35E-05
Point (121.04027194027520409 14.55919037103390501),,1000124247,0.0006,8.96E-05
Point (121.04018606864951835 14.55922631228759911),,1000124247,0.0006,8.07E-06
Point (121.04018838950429426 14.55917464673358275),,1000124247,0.0006,5.00E-05
Point (121.04020695634226001 14.55914993711651029),,1000124246,0.001,8.09E-05
Point (121.04010948044286522 14.55919037103390501),,1000124246,0.001,1.39E-05
Point (121.04009787616912774 14.55922406595940721),,1000124246,0.001,4.69E-05
Point (121.04009323445964696 14.55914095180052392),,1000124246,0.001,1.25E-05
Point (121.04011180129761271 14.55910725686235097),,1000124246,0.001,5.00E-05
Point (121.0400166462529512 14.55904211330058295),,1000124246,0.001,3.60E-05
Point (121.03997022915801551 14.55904211330058295),,1000124246,0.001,5.37E-06
Point (121.03987043240385901 14.55899943302554433),,1000124246,0.001,2.85E-05
Point (121.03985882813010733 14.55895450641132172),,1000124246,0.001,2.48E-06
Point (121.0399307746273081 14.55895226008036936),,1000124246,0.001,4.67E-05
Point (121.039875074113354 14.55887139215089121),,1000124246,0.001,7.06E-05
Point (121.03983794043739408 14.55888711647284062),,1000124246,0.001,3.43E-05
Point (121.03977295650446422 14.55888487014120081),,1000124246,0.001,6.95E-06
Point (121.03975438966647005 14.55891182611933843),,1000124246,0.001,3.95E-05
Point (121.03967548060505521 14.55887139215089121),,1000124246,0.001,6.12E-05
Point (121.0396801223145502 14.5588376971715352),,1000124246,0.001,3.29E-05
Point (121.03972189770000512 14.558828711842839),,1000124246,0.001,1.46E-06
Point (121.03960353410788287 14.55881972651377332),,1000124246,0.001,7.00E-05
Point (121.03965691376706104 14.55878378519383354),,1000124246,0.001,7.76E-06
Point (121.03967780145980271 14.55872987320297796),,1000124246,0.001,4.65E-05
Point (121.03959657154365459 14.55872762686974831),,1000124246,0.001,5.47E-06
Point (121.03958496726988869 14.55876806086453001),,1000124246,0.001,4.35E-05
Point (121.03955479615817126 14.55876806086453001),,1000124246,0.001,6.34E-05
Point (121.03950141649899308 14.55872313420319841),,1000124246,0.001,6.50E-05
Point (121.03949909564424559 14.55868719286753432),,1000124246,0.001,3.95E-05
Point (121.03949909564424559 14.55865799052799936),,1000124246,0.001,1.76E-05
Point (121.03956175872244216 14.55866023686195376),,1000124246,0.001,2.21E-05
Point (121.03949909564424559 14.55859733950277146),,1000124246,0.001,2.79E-05
Point (121.03945267854930989 14.55860183217187931),,1000124246,0.001,6.13E-06
Point (121.03943411171131572 14.5586737148651526),,1000124246,0.001,7.24E-05
Point (121.03938305290685662 14.55862204918173752),,1000124246,0.001,6.73E-05
Point (121.03934127752140171 14.55859509316818112),,1000124246,0.001,7.47E-05
Point (121.03936216521414337 14.55857038348621302),,1000124246,0.001,4.23E-05
Point (121.03941554487332155 14.55850523976591404),,1000124246,0.001,4.18E-05
Point (121.03938537376160411 14.55851422510779081),,1000124245,0.0005,1.55E-05
Point (121.03933663581190672 14.55851422510779081),,1000124245,0.0005,1.58E-05
Point (121.03929718128121351 14.55856139814662598),,1000124245,0.0005,7.73E-05
Point (121.0392554058957586 14.55852994945518475),,1000124245,0.0005,8.00E-05
Point (121.03926468931473437 14.55849850075927598),,1000124245,0.0005,4.99E-05
Point (121.03934127752140171 14.55843784969018273),,1000124245,0.0005,4.57E-05
Point (121.03929718128121351 14.55844683503480752),,1000124245,0.0005,1.06E-05
Point (121.03927397273372435 14.5584558203790646),,1000124245,0.0005,1.12E-05
Point (121.03921130965552777 14.55847603740229523),,1000124245,0.0005,6.70E-05
Point (121.03914864657737382 14.55843335701774421),,1000124245,0.0005,7.45E-05
Point (121.03914632572259791 14.5584041546446219),,1000124245,0.0005,5.36E-05
Point (121.03916025085109709 14.55836372058312378),,1000124245,0.0005,1.36E-05
Point (121.03922523478401274 14.55836821325698693),,1000124245,0.0005,2.47E-05
Point (121.03928093529796683 14.55837719860445034),,1000124245,0.0005,5.35E-05
Point (121.03920666794604699 14.55833002552622624),,1000124245,0.0005,4.20E-05
Point (121.03909294606341973 14.5583390108752404),,1000124245,0.0005,3.79E-05
Point (121.03908830435389632 14.55838393761480098),,1000124245,0.0005,7.53E-05
Point (121.03911383375613298 14.55828734511341871),,1000124245,0.0005,1.52E-05
Point (121.03906973751593057 14.55829408412651915),,1000124245,0.0005,1.83E-05
Point (121.03903028298523736 14.55829408412651915),,1000124245,0.0005,4.36E-05
Point (121.0390070744377482 14.55831879383945271),,1000124245,0.0005,7.75E-05
Point (121.0390093952924957 14.55823792567776742),,1000124245,0.0005,1.40E-05
Point (121.03905581238743139 14.55823343300124328),,1000124245,0.0005,1.92E-05
Point (121.03896761990704078 14.55823567933952489),,1000124245,0.0005,3.91E-05
Point (121.03894905306907503 14.55825814272095897),,1000124245,0.0005,6.82E-05
Point (121.03893512794057585 14.55817278185930341),,1000124244,0.0005,1.18E-05
Point (121.03892584452158587 14.55813684043398659),,1000124244,0.0005,9.77E-06
Point (121.03896994076178828 14.55812785507674079),,1000124244,0.0005,4.50E-05
Point (121.03893512794057585 14.55808068194519933),,1000124244,0.0005,5.87E-05
Point (121.03886086058868443 14.55815031846916696),,1000124244,0.0005,4.23E-05
Point (121.03885853973390851 14.55811213070068355),,1000124244,0.0005,1.46E-05
Point (121.03881212263897282 14.55813684043397416),,1000124244,0.0005,6.34E-05
Point (121.03873321357755799 14.55808517462482676),,1000124244,0.0005,7.46E-05
Point (121.03877963067250789 14.55808068194519933),,1000124244,0.0005,4.13E-05
Point (121.03881676434846781 14.5580335088035806),,1000124244,0.0005,1.87E-05
Point (121.03882372691269609 14.55798633565187217),,1000124244,0.0005,5.93E-05
Point (121.03871696759431131 14.55799532101488047),,1000124244,0.0005,1.62E-05
Point (121.03867287135412312 14.55799082833342162),,1000124244,0.0005,4.12E-05
Point (121.03867287135412312 14.55803126246325085),,1000124244,0.0005,7.21E-05
Point (121.0385800371642091 14.55791669907615038),,1000124244,0.0005,4.41E-05
Point (121.03850809066700833 14.55790996005153737),,1000124243,0.0005,8.54E-05
Point (121.03851505323127924 14.55787626492532816),,1000124243,0.0005,5.52E-05
Point (121.03864966280663396 14.55786952589946814),,1000124244,0.0005,3.68E-05
Point (121.03856147032621493 14.55777742585877732),,1000124243,0.0005,5.01E-05
Point (121.03846399442682014 14.55783133808238716),,1000124243,0.0005,5.41E-05
Point (121.03841757733187023 14.55780213562957215),,1000124243,0.0005,6.20E-05
Point (121.03837812280116282 14.55776844048688901),,1000124243,0.0005,6.20E-05
Point (121.03845006929833517 14.55775945511465785),,1000124243,0.0005,8.48E-06
Point (121.03799054005830271 14.55733938855360421),,1000124242,0.0004,1.30E-05
Point (121.03792555612537285 14.55727873716589649),,1000124242,0.0004,1.69E-05
Point (121.03796733151082776 14.55726750542560133),,1000124242,0.0004,5.26E-05
Point (121.03786289304717627 14.5572046076693713),,1000124241,0.0005,3.27E-05
Point (121.03775381287402979 14.5570990292525444),,1000124241,0.0005,4.23E-05
Point (121.03764937441039251 14.55701591429311392),,1000124241,0.0005,3.79E-05
Point (121.03754493594675523 14.55691707484114339),,1000124241,0.0005,4.54E-05
Point (121.03753797338251275 14.55696874092383197),,1000124241,0.0005,1.54E-06
Point (121.03747995201381116 14.55690359673063483),,1000124240,0.0005,1.35E-05
Point (121.03747995201381116 14.55685642333733298),,1000124240,0.0005,4.94E-05
Point (121.03735462585743221 14.55675983016721986),,1000124240,0.0005,4.16E-05
Point (121.03733373816470476 14.55679127911096948),,1000124240,0.0005,4.12E-06
Point (121.03699257251680876 14.55644084777015124),,1000124239,0.0004,5.44E-05
Point (121.03690205918167067 14.55644534048317418),,1000124239,0.0004,6.26E-06
Point (121.03687420892468651 14.5563689643494083),,1000124239,0.0004,3.54E-05
Point (121.03685332123197327 14.55631055905278792),,1000124238,0.0012,6.50E-05
Point (121.03678833729904341 14.55634650077561432),,1000124238,0.0012,7.20E-06
Point (121.03679297900850997 14.55624990738226465),,1000124238,0.0012,6.13E-05
Point (121.03675120362305506 14.5563150517684825),,1000124238,0.0012,1.35E-05
Point (121.0366862196901252 14.55630831269492731),,1000124238,0.0012,5.69E-05
Point (121.03671174909236186 14.55628584911496404),,1000124238,0.0012,2.29E-05
Point (121.03672799507560853 14.55626113917436548),,1000124238,0.0012,5.72E-06
Point (121.03663051917619953 14.55625664645760153),,1000124238,0.0012,6.33E-05
Point (121.03666069028791696 14.55624541466527155),,1000124238,0.0012,3.34E-05
Point (121.03670942823761436 14.55621845836135542),,1000124238,0.0012,2.08E-05
Point (121.03664212344992279 14.55620722656709276),,1000124238,0.0012,2.14E-05
Point (121.03658178122648792 14.55619599477224391),,1000124238,0.0012,5.84E-05
Point (121.0365980272097346 14.55617577754008884),,1000124238,0.0012,3.28E-05
Point (121.03654928926002299 14.55615556030607749),,1000124238,0.0012,4.88E-05
Point (121.03651911814829134 14.55616679210298692),,1000124238,0.0012,7.66E-05
Point (121.0365980272097346 14.55611961855217018),,1000124238,0.0012,9.97E-06
Point (121.03650983472931557 14.55611737219235025),,1000124238,0.0012,4.45E-05
Point (121.03642164224892497 14.55608816951268736),,1000124238,0.0012,7.81E-05
Point (121.03645877592488489 14.55606121318955992),,1000124238,0.0012,3.37E-05
Point (121.03651679729355806 14.55602751778103254),,1000124238,0.0012,2.93E-05
Point (121.03634505404222921 14.55604324230564828),,1000124238,0.0012,9.22E-05
Point (121.03636362088022338 14.55602976414175664),,1000124238,0.0012,7.00E-05
Point (121.03637290429921336 14.55598259056164068),,1000124238,0.0012,2.77E-05
Point (121.03626382412605267 14.55599382236735373),,1000124238,0.0012,0.000105872
Point (121.03626382412605267 14.55595114150262859),,1000124238,0.0012,7.30E-05
Point (121.03631720378525927 14.55593990969475193),,1000124238,0.0012,3.03E-05
Point (121.03626614498082859 14.5558994751816666),,1000124238,0.0012,3.17E-05
Point (121.03619187762888032 14.55590846062965937),,1000124238,0.0012,8.59E-05
Point (121.03624293643333942 14.55584780884860585),,1000124238,0.0012,6.60E-06
Point (121.03626846583554766 14.55580063522958589),,1000124238,0.0012,4.60E-05
Point (121.03621044446687449 14.55578715705087234),,1000124238,0.0012,1.95E-05
Point (121.03619651933837531 14.55573099796403902),,1000124238,0.0012,5.39E-05
Point (121.03616402737191038 14.55577367887134521),,1000124238,0.0012,3.03E-07
Point (121.03611528942221298 14.55578041796121092),,1000124238,0.0012,3.59E-05
Point (121.03605262634403061 14.55571302705324399),,1000124238,0.0012,2.39E-05
Point (121.03611064771270378 14.55571976614496599),,1000124238,0.0012,7.87E-06
Point (121.03597835899211077 14.55566809976981979),,1000124238,0.0012,3.65E-05
Point (121.03599460497532903 14.55563440430127109),,1000124238,0.0012,2.12E-07
Point (121.03592730018765167 14.55561418701765497),,1000124238,0.0012,2.75E-05
Point (121.03598532155635326 14.55556027425229537),,1000124238,0.0012,5.10E-05
Point (121.03588088309268755 14.55556252061778899),,1000124237,0.0013,1.79E-05
Point (121.03583214514299016 14.55552657876726919),,1000124237,0.0013,2.20E-05
Point (121.03587624138322099 14.55549962237554418),,1000124237,0.0013,2.71E-05
