wkt_geom,segment_id,length
"LineString (121.01576350000000559 14.65773480000000006, 121.01430270000000178 14.65771430000000031)",1000286468,157.3732
"LineString (121.01430270000000178 14.65771430000000031, 121.01393919999999582 14.65770790000000012)",1000286469,39.1625
"LineString (121.01393919999999582 14.65770790000000012, 121.01171379999999544 14.65766870000000033)",1000286470,239.7586
"LineString (121.01171379999999544 14.65766870000000033, 121.01130000000000564 14.6576638999999993, 121.01089349999999456 14.65765840000000075)",1000286471,88.3698
"LineString (121.01089349999999456 14.65765840000000075, 121.01079710000000489 14.65765610000000052)",1000286472,10.3873
"LineString (121.01079710000000489 14.65765610000000052, 121.00765429999999867 14.65759350000000083)",1000286473,338.6123
"LineString (121.00765429999999867 14.65759350000000083, 121.00749319999999898 14.65759000000000079)",1000286474,17.358
"LineString (121.00749319999999898 14.65759000000000079, 121.00711569999999995 14.65758160000000032, 121.00679909999999495 14.65757220000000061)",1000286475,74.7947
"LineString (121.00679909999999495 14.65757220000000061, 121.00657569999999907 14.6575685)",1000286476,24.0681
"LineString (121.00657569999999907 14.6575685, 121.00412289999999871 14.65752400000000044)",1000286477,264.2609
"LineString (121.00412289999999871 14.65752400000000044, 121.00353180000000464 14.65750770000000003)",1000286478,63.6987
"LineString (121.00353180000000464 14.65750770000000003, 121.00319989999999848 14.65749860000000027)",1000286479,35.7664
"LineString (121.00319989999999848 14.65749860000000027, 121.00240569999999707 14.65746610000000061)",1000286480,85.6266
"LineString (121.00240569999999707 14.65746610000000061, 121.00234869999999887 14.65746369999999921)",1000286481,6.1458
"LineString (121.00234869999999887 14.65746369999999921, 121.00205149999999321 14.65746940000000009)",1000286482,32.0205
"LineString (121.00205149999999321 14.65746940000000009, 121.00192629999999383 14.65746230000000061)",1000286483,13.5094
"LineString (121.01903430000000128 14.65778609999999915, 121.01882940000000133 14.65779960000000059)",1000286490,22.1222
"LineString (121.03909590000000662 14.6419390000000007, 121.03828420000000676 14.6431830000000005, 121.03781469999999842 14.64390030000000031, 121.03749190000000624 14.64441610000000082, 121.03730199999999684 14.64472289999999965, 121.03687539999999956 14.64535069999999983)",1000290953,446.9344
"LineString (121.03687539999999956 14.64535069999999983, 121.03666370000000541 14.64567680000000038, 121.03642949999999701 14.6462090000000007)",1000290955,106.747
"LineString (121.03642949999999701 14.6462090000000007, 121.03599230000000375 14.64685979999999965, 121.03592179999999701 14.64696750000000058, 121.03580859999999575 14.64713260000000083, 121.03549069999999688 14.64764279999999985)",1000290956,188.1637
"LineString (121.03549069999999688 14.64764279999999985, 121.03477010000000291 14.64869120000000002, 121.034004699999997 14.64980450000000012, 121.03383709999999951 14.6500483999999993, 121.03357959999999593 14.65042650000000002)",1000290957,370.4718
"LineString (121.03357959999999593 14.65042650000000002, 121.0335153000000048 14.65052269999999979)",1000290958,12.6994
"LineString (121.0335153000000048 14.65052269999999979, 121.03247829999999396 14.6521877000000007)",1000290959,215.4471
